,Время,Сумма
800,08.09.2020,410181.42
801,09.09.2020,352042.95
802,10.09.2020,409678.51
803,11.09.2020,487293.54
804,12.09.2020,462805.52
805,13.09.2020,382021.64
806,14.09.2020,373922.4
807,15.09.2020,362874.52
808,16.09.2020,373968.22
809,17.09.2020,431657.41
810,18.09.2020,537409.99
811,19.09.2020,497238.54
812,20.09.2020,376454.72
813,21.09.2020,351051.32
814,22.09.2020,366675.28
815,23.09.2020,364575.53
816,24.09.2020,400278.77
817,25.09.2020,533774.83
818,26.09.2020,507310.38
819,27.09.2020,357664.4
820,28.09.2020,320217.59
821,29.09.2020,365264.22
822,30.09.2020,334891.76
823,01.10.2020,361292.76
824,02.10.2020,473915.95
825,03.10.2020,466786.05
826,04.10.2020,351060.42
827,05.10.2020,347352.0
828,06.10.2020,354769.06
829,07.10.2020,362537.21
830,08.10.2020,341629.71
831,09.10.2020,461420.77
832,10.10.2020,450605.58
833,11.10.2020,328328.77
834,12.10.2020,368053.67
835,13.10.2020,380657.21
836,14.10.2020,358863.33
837,15.10.2020,341266.85
838,16.10.2020,446067.99
839,17.10.2020,423030.53
840,18.10.2020,297874.25
841,19.10.2020,348006.57
842,20.10.2020,369683.74
843,21.10.2020,344666.01
844,22.10.2020,336863.24
845,23.10.2020,415933.8
846,24.10.2020,484230.27
847,25.10.2020,352108.38
848,26.10.2020,338826.21
849,27.10.2020,375305.62
